San José,49.8,54.4
San José,46.2,52.7
San José,8.3,6.4
Escazú,57.4,40.9
Escazú,62.3,37.6
Escazú,5.0,9.5
Desamparados,41.8,39.4
Desamparados,39.8,36.1
Desamparados,8.3,9.6
Puriscal,38.7,32.1
Puriscal,25.4,24.2
Puriscal,11.4,12.9
Tarrazú,24.2,24.8
Tarrazú,23.8,19.8
Tarrazú,10.2,13.9
Aserrí,32.3,32.9
Aserrí,28.4,28.1
Aserrí,10.4,11.4
Mora,44.5,34.0
Mora,38.9,24.8
Mora,9.3,11.3
Goicoechea,50.3,56.3
Goicoechea,47.8,52.6
Goicoechea,7.2,5.9
Santa Ana,55.1,47.2
Santa Ana,58.3,45.1
Santa Ana,4.7,7.0
Alajuelita,32.3,41.5
Alajuelita,29.9,38.3
Alajuelita,11.7,8.8
Vásquez de Coronado,52.3,41.0
Vásquez de Coronado,51.8,37.5
Vásquez de Coronado,5.8,9.9
Acosta,26.4,37.5
Acosta,14.9,32.9
Acosta,12.1,10.7
Tibás,57.3,54.5
Tibás,50.7,51.6
Tibás,6.7,6.1
Moravia,60.8,53.4
Moravia,58.4,50.2
Moravia,4.4,5.8
Montes de Oca,73.2,49.4
Montes de Oca,69.2,47.8
Montes de Oca,3.8,7.3
Turrubares,23.2,34.6
Turrubares,12.2,27.5
Turrubares,17.5,11.8
Dota,29.0,30.3
Dota,26.3,26.8
Dota,8.8,10.3
Curridabat,58.5,51.4
Curridabat,59.4,49.7
Curridabat,6.1,7.2
Pérez Zeledón,29.3,27.2
Pérez Zeledón,20.6,21.3
Pérez Zeledón,13.3,15.8
León Cortés,21.0,32.6
León Cortés,14.1,30.3
León Cortés,13.6,9.1
Alajuela,40.3,41.2
Alajuela,37.1,37.6
Alajuela,8.2,9.1
San Ramón,38.5,32.0
San Ramón,31.1,23.8
San Ramón,9.9,12.6
Grecia,36.7,36.3
Grecia,29.9,31.1
Grecia,10.1,9.4
San Mateo,31.2,38.2
San Mateo,17.1,29.1
San Mateo,13.2,10.8
Atenas,41.3,34.9
Atenas,34.6,26.6
Atenas,7.3,11.7
Naranjo,34.0,37.1
Naranjo,26.2,30.6
Naranjo,10.7,9.1
Palmares,41.2,37.0
Palmares,34.5,29.5
Palmares,9.2,9.7
Poás,30.2,36.3
Poás,25.3,31.1
Poás,10.1,10.1
Orotina,33.7,34.8
Orotina,23.6,26.4
Orotina,13.9,11.2
San Carlos,27.3,32.2
San Carlos,24.6,26.4
San Carlos,13.4,10.1
Zarcero,32.8,32.9
