San José,2000,309672,44.6,6940,100.0,93.5,52.8,78930,3.88,65.2,8.0,97.7,98.6,97.3,9.1,9.7,7.8,34.1,,86.2,41.3,8.6,44.2,55.8,73.4,40.0,20.3,15.3,5.1,19.7,32.5,
San José,2011,288054,44.6,6456,100.0,89.9,45.7,81903,3.50,63.4,6.8,98.8,99.4,98.5,9.9,10.3,9.2,31.1,16.8,88.5,46.2,9.5,43.3,56.7,71.2,44.2,13.7,16.3,12.3,14.2,39.6,6.9
Escazú,2000,52372,34.5,1518,89.2,94.3,51.3,13176,3.96,71.1,6.3,97.5,98.4,97.0,9.2,9.7,7.9,33.6,,86.7,40.9,7.1,42.1,57.9,76.3,41.4,21.0,16.8,3.9,20.1,23.4,
Escazú,2011,56509,34.5,1638,99.3,89.3,41.9,16565,3.40,74.3,3.8,99.0,99.4,98.8,10.9,11.4,10.1,29.8,28.7,90.9,49.9,7.6,39.3,60.7,74.0,49.2,13.8,19.9,10.4,14.2,32.5,8.7
Desamparados,2000,193478,118.3,1636,88.0,95.5,56.0,47443,4.06,68.0,7.1,97.6,98.8,96.9,8.0,8.8,6.0,35.0,,84.3,36.1,7.3,44.3,55.7,78.0,35.2,21.0,7.7,4.6,19.8,26.5,
Desamparados,2011,208411,118.3,1762,93.6,92.2,43.9,57355,3.62,66.0,4.8,98.6,99.4,98.3,8.9,9.6,7.7,33.7,14.3,89.3,45.4,9.7,43.0,57.0,74.3,41.6,14.3,8.9,10.5,14.5,34.2,6.9
Puriscal,2000,29407,553.7,53,25.1,101.8,67.2,7399,3.96,64.8,4.3,93.3,98.3,90.4,6.4,7.7,3.9,35.3,,84.1,36.1,5.8,53.5,46.5,72.0,20.9,19.3,0.8,6.9,14.1,20.3,
Puriscal,2011,33004,553.7,60,23.4,100.8,45.6,9787,3.36,64.5,2.2,96.7,99.5,95.3,7.9,9.2,6.0,33.9,11.2,90.2,52.4,8.4,49.3,50.7,69.7,32.0,12.5,2.2,13.1,10.4,28.2,6.9
Tarrazú,2000,14160,297.5,48,26.8,101.7,70.2,3375,4.18,70.9,4.4,92.7,97.0,89.8,5.6,6.5,3.6,28.2,,69.6,19.5,3.0,49.9,50.1,83.6,14.9,20.5,4.2,5.6,13.0,17.3,
Tarrazú,2011,16280,297.5,55,50.3,98.8,51.4,4551,3.58,66.2,2.5,96.5,98.7,95.1,6.7,7.5,5.3,32.4,7.5,83.9,37.1,6.4,48.8,51.2,78.8,24.0,17.8,5.8,9.1,14.0,23.0,13.2
