san josé,porcentaje,99.7,96.6,99.9,46.2,57.1,65.3,91.2
san josé,recuento,81688,79093,81852,37816,46737,53478,74679
escazú,porcentaje,98.4,98.9,99.9,62.3,69.2,77.1,92.4
escazú,recuento,16301,16381,16556,10325,11462,12772,15300
desamparados,porcentaje,98.5,97.9,99.9,39.8,53.6,65.2,90.8
desamparados,recuento,56506,56134,57301,22823,30738,37406,52101
puriscal,porcentaje,92.6,96.3,99.3,25.4,41.4,69.2,80.4
puriscal,recuento,9064,9424,9715,2488,4049,6773,7869
tarrazú,porcentaje,85.4,94.1,99.1,23.8,41.0,57.4,83.8
tarrazú,recuento,3886,4281,4508,1085,1864,2613,3812
aserrí,porcentaje,94.5,97.9,99.7,28.4,43.6,62.1,87.8
aserrí,recuento,15235,15789,16072,4572,7024,10006,14157
mora,porcentaje,93.9,97.6,99.3,38.9,50.4,69.8,86.6
mora,recuento,7309,7593,7728,3027,3925,5432,6741
goicoechea,porcentaje,99.6,97.0,100.0,47.8,59.2,68.2,92.2
goicoechea,recuento,32375,31558,32513,15545,19259,22165,29984
santa ana,porcentaje,96.1,98.4,99.6,58.3,66.9,72.2,93.6
santa ana,recuento,13686,14001,14176,8306,9529,10275,13322
alajuelita,porcentaje,98.0,96.6,99.9,29.9,45.2,57.8,91.3
alajuelita,recuento,19426,19160,19813,5929,8959,11459,18115
vázquez de coronado,porcentaje,97.9,99.2,100.0,51.8,64.3,73.9,93.1
vázquez de coronado,recuento,16803,17015,17151,8882,11037,12681,15969
acosta,porcentaje,88.0,93.5,97.9,14.9,35.0,63.1,78.4
acosta,recuento,5169,5488,5746,877,2056,3702,4604
tibás,porcentaje,99.9,96.1,100.0,50.7,62.9,68.2,91.8
tibás,recuento,19140,18404,19159,9715,12056,13068,17588
moravia,porcentaje,99.5,99.0,99.9,58.4,69.5,73.2,93.7
moravia,recuento,16793,16709,16862,9855,11731,12349,15813
montes de oca,porcentaje,99.6,99.0,100.0,69.2,73.8,76.5,93.1
montes de oca,recuento,16519,16415,16582,11485,12242,12684,15441
turrubares,porcentaje,85.7,94.0,96.1,12.2,22.6,52.0,82.8
turrubares,recuento,1439,1578,1613,205,379,873,1390
dota,porcentaje,77.2,96.1,99.0,26.3,44.3,65.8,84.9
dota,recuento,1506,1875,1932,513,864,1285,1657
curridabat,porcentaje,99.6,97.2,100.0,59.4,67.3,70.8,93.6
curridabat,recuento,19071,18612,19137,11365,12880,13556,17925
pérez zeledón,porcentaje,88.9,96.9,99.4,20.6,37.6,44.3,85.9
pérez zeledón,recuento,34240,37297,38270,7940,14483,17064,33071
león cortés castro,porcentaje,79.9,95.1,98.9,14.1,35.3,57.7,81.7
león cortés castro,recuento,2699,3212,3341,476,1193,1948,2760
alajuela,porcentaje,97.3,97.9,99.9,37.1,51.1,62.6,90.4
alajuela,recuento,70061,70509,71950,26727,36822,45110,65092
san ramón,porcentaje,94.9,98.0,99.5,31.1,45.0,56.6,87.3
san ramón,recuento,22124,22829,23182,7237,10483,13189,20332
grecia,porcentaje,98.7,97.2,99.8,29.9,47.5,62.4,88.0
grecia,recuento,21434,21093,21658,6499,10312,13539,19109
san mateo,porcentaje,93.7,95.9,98.9,17.1,30.3,53.5,83.0
san mateo,recuento,1719,1758,1813,314,555,981,1522
atenas,porcentaje,94.4,98.5,99.7,34.6,50.4,68.7,87.4
atenas,recuento,7054,7359,7453,2583,3766,5133,6534
naranjo,porcentaje,99.3,95.8,99.7,26.2,42.7,60.8,87.2
naranjo,recuento,11594,11184,11643,3058,4983,7105,10182
palmares,porcentaje,95.4,98.6,99.9,34.5,52.3,64.1,88.0
palmares,recuento,9215,9517,9652,3330,5053,6186,8498
poás,porcentaje,99.2,98.3,99.9,25.3,44.7,61.2,88.1
poás,recuento,7840,7771,7899,1997,3535,4836,6965
orotina,porcentaje,98.1,96.9,99.4,23.6,35.8,51.4,87.8
orotina,recuento,5910,5835,5988,1421,2157,3098,5288
san carlos,porcentaje,91.9,94.8,98.6,24.6,36.8,46.1,86.1
san carlos,recuento,41327,42623,44336,11061,16538,20746,38699
zarcero,porcentaje,99.5,97.6,99.8,27.1,45.0,61.4,87.5
zarcero,recuento,3315,3253,3325,903,1501,2048,2916
valverde vega,porcentaje,99.8,96.4,99.7,26.2,41.7,65.4,84.8
valverde vega,recuento,5043,4874,5040,1324,2109,3303,4284
upala,porcentaje,91.1,82.8,93.6,9.0,18.7,33.9,72.6
upala,recuento,10494,9537,10785,1036,2152,3901,8360
los chiles,porcentaje,76.5,74.0,90.8,9.7,17.3,24.0,75.1
los chiles,recuento,4618,4466,5482,583,1047,1447,4531
guatuso,porcentaje,95.4,89.5,96.9,9.9,19.3,28.9,82.4
guatuso,recuento,4206,3948,4274,435,853,1274,3631
cartago,porcentaje,98.6,98.3,99.9,38.8,54.8,66.0,91.0
cartago,recuento,38075,37955,38579,14978,21174,25491,35127
paraíso,porcentaje,98.2,98.1,99.7,30.1,45.8,64.5,90.5
paraíso,recuento,14356,14347,14582,4399,6702,9439,13242
la unión,porcentaje,98.8,98.2,99.9,46.8,58.8,65.8,93.1
la unión,recuento,26653,26485,26963,12617,15867,17765,25115
jiménez,porcentaje,95.6,97.0,99.4,15.1,32.5,50.4,81.1
jiménez,recuento,3931,3991,4090,623,1337,2073,3337
turrialba,porcentaje,91.6,94.7,97.2,24.4,38.1,53.8,82.0
turrialba,recuento,18734,19361,19875,4985,7793,10999,16776
alvarado,porcentaje,98.1,98.4,99.6,16.3,32.1,54.5,87.9
alvarado,recuento,3543,3555,3599,587,1159,1969,3174
oreamuno,porcentaje,97.4,98.3,99.9,32.7,48.9,61.4,92.0
oreamuno,recuento,10942,11044,11218,3671,5489,6899,10329
el guarco,porcentaje,95.7,97.8,99.8,33.2,50.7,58.4,91.1
el guarco,recuento,10366,10594,10810,3597,5495,6321,9869
heredia,porcentaje,99.4,98.5,100.0,56.3,67.2,71.0,93.5
heredia,recuento,35007,34688,35211,19831,23673,24989,32917
barva,porcentaje,99.1,99.4,99.9,50.0,63.6,72.9,92.1
barva,recuento,11186,11227,11283,5648,7176,8227,10396
santo domingo,porcentaje,100.0,98.9,99.9,54.1,66.5,74.1,91.4
santo domingo,recuento,11496,11366,11481,6219,7649,8521,10510
santa bárbara,porcentaje,97.4,98.9,99.8,39.7,55.2,66.9,90.8
santa bárbara,recuento,9844,9994,10090,4012,5584,6762,9173
san rafael,porcentaje,99.5,99.2,99.9,47.8,61.0,68.7,91.3
san rafael,recuento,12890,12850,12938,6187,7907,8895,11832
san isidro,porcentaje,97.0,99.3,99.9,46.4,60.4,71.2,91.9
san isidro,recuento,5631,5764,5799,2694,3506,4134,5335
belén,porcentaje,99.7,99.3,100.0,59.4,70.5,74.6,93.6
belén,recuento,5995,5968,6010,3570,4239,4482,5627
flores,porcentaje,99.1,99.4,100.0,57.0,68.0,74.0,89.9
flores,recuento,5699,5718,5750,3277,3908,4256,5172
san pablo,porcentaje,99.9,99.4,100.0,62.7,73.2,75.4,94.2
san pablo,recuento,7999,7958,8003,5017,5857,6036,7540
sarapiquí,porcentaje,59.4,90.2,96.7,12.0,21.5,37.6,78.8
sarapiquí,recuento,9361,14216,15247,1892,3389,5921,12426
liberia,porcentaje,95.9,93.4,99.0,29.3,39.6,47.9,89.5
liberia,recuento,15903,15477,16405,4851,6562,7946,14841
nicoya,porcentaje,88.1,89.7,97.9,18.0,29.1,54.0,75.5
nicoya,recuento,13243,13488,14729,2706,4380,8119,11356
santa cruz,porcentaje,88.5,91.7,98.5,24.1,33.9,50.5,81.5
santa cruz,recuento,14738,15271,16400,4014,5643,8402,13565
bagaces,porcentaje,88.2,92.8,97.8,16.2,26.9,42.5,84.9
bagaces,recuento,4954,5211,5490,910,1510,2388,4769
carrillo,porcentaje,91.9,91.3,99.1,20.5,31.6,47.6,82.7
carrillo,recuento,9316,9256,10047,2080,3202,4826,8388
cañas,porcentaje,92.5,96.1,99.1,21.9,32.4,44.7,88.1
cañas,recuento,6633,6889,7111,1570,2327,3206,6315
abangares,porcentaje,89.2,95.0,98.0,16.4,27.0,50.7,80.2
abangares,recuento,4739,5045,5205,870,1436,2695,4260
tilarán,porcentaje,91.6,97.9,99.2,25.9,37.8,61.1,84.1
tilarán,recuento,5514,5889,5971,1561,2273,3678,5061
nandayure,porcentaje,80.8,90.7,98.5,14.1,26.3,43.6,78.6
nandayure,recuento,2673,3000,3258,465,871,1441,2598
la cruz,porcentaje,84.6,74.2,91.9,9.5,16.7,32.2,73.4
la cruz,recuento,4004,3509,4350,448,789,1523,3474
hojancha,porcentaje,78.4,91.8,98.4,15.0,31.0,45.9,76.5
hojancha,recuento,1590,1862,1995,305,628,930,1551
puntarenas,porcentaje,93.6,94.1,99.0,19.6,31.0,55.7,80.5
puntarenas,recuento,31089,31255,32888,6525,10302,18500,26751
esparza,porcentaje,94.4,97.2,99.4,27.3,39.0,56.0,87.0
esparza,recuento,7962,8196,8385,2300,3286,4725,7338
buenos aires,porcentaje,72.6,82.4,90.1,11.2,21.7,25.7,75.9
buenos aires,recuento,8856,10058,10997,1370,2653,3133,9266
